period,devfactor,atr_period,atr_mult,return_pct,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value
60,1.5,20,2.5,27.403622617200018,0,22.762782905095076,52,38.46153846153847,12740.362261720002
60,1.5,7,2.0,26.46729670160012,0,23.11076178969343,53,37.735849056603776,12646.729670160012
60,1.5,10,2.0,26.46729670160012,0,23.11076178969343,53,37.735849056603776,12646.729670160012
60,1.5,14,2.0,26.46729670160012,0,23.11076178969343,53,37.735849056603776,12646.729670160012
60,1.5,7,2.5,25.130943090800013,0,23.613178913515267,52,38.46153846153847,12513.094309080001
60,1.5,10,2.5,25.130943090800013,0,23.613178913515267,52,38.46153846153847,12513.094309080001
60,1.5,14,2.5,25.130943090800013,0,23.613178913515267,52,38.46153846153847,12513.094309080001
60,1.5,14,3.0,24.960015037199902,0,23.717193456199777,52,38.46153846153847,12496.00150371999
60,1.5,20,3.0,24.960015037199902,0,23.717193456199777,52,38.46153846153847,12496.00150371999
60,1.5,10,3.0,24.709811533999908,0,23.87033077120984,52,38.46153846153847,12470.981153399991
60,1.5,20,2.0,24.528301402799972,0,24.289996730184964,54,37.03703703703704,12452.830140279997
60,1.5,7,3.0,23.77666292959988,0,24.43964968219821,52,38.46153846153847,12377.666292959988
50,1.5,20,2.5,21.430213085200247,0,22.828231840053814,63,33.33333333333333,12143.021308520025
60,1.5,14,1.0,21.03809376920024,0,26.975366420140066,70,28.57142857142857,12103.809376920024
30,1.5,7,2.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,7,2.5,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,7,3.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,10,2.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,10,2.5,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,10,3.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,14,2.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,14,2.5,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,14,3.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,20,2.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,20,2.5,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
30,1.5,20,3.0,19.58637851239986,0,23.4049676153644,98,36.734693877551024,11958.637851239986
50,1.5,7,3.0,19.457366590399978,0,23.48917876761164,63,33.33333333333333,11945.736659039998
50,1.5,10,3.0,19.457366590399978,0,23.48917876761164,63,33.33333333333333,11945.736659039998
50,1.5,14,3.0,19.457366590399978,0,23.48917876761164,63,33.33333333333333,11945.736659039998
50,1.5,20,3.0,19.457366590399978,0,23.48917876761164,63,33.33333333333333,11945.736659039998
60,1.5,10,1.0,18.719105980800197,0,28.373773894202518,71,28.169014084507044,11871.91059808002
50,2.5,7,2.0,18.502825916399978,0,24.774378558616494,36,47.22222222222222,11850.282591639998
50,2.5,10,2.0,18.502825916399978,0,24.774378558616494,36,47.22222222222222,11850.282591639998
50,1.5,7,2.5,18.434108332000196,0,24.732330567590843,64,32.8125,11843.41083320002
50,1.5,10,2.5,18.434108332000196,0,24.732330567590843,64,32.8125,11843.41083320002
50,1.5,14,2.5,18.434108332000196,0,24.732330567590843,64,32.8125,11843.41083320002
50,1.5,14,2.0,18.25407418719997,0,25.625913164252367,65,32.30769230769231,11825.407418719997
40,1.5,7,2.0,18.0650000687998,0,23.95021695039679,76,32.89473684210527,11806.50000687998
40,1.5,10,2.0,18.0650000687998,0,23.95021695039679,76,32.89473684210527,11806.50000687998
40,1.5,14,2.0,18.0650000687998,0,23.95021695039679,76,32.89473684210527,11806.50000687998
40,1.5,20,2.0,18.0650000687998,0,23.95021695039679,76,32.89473684210527,11806.50000687998
60,2.0,14,1.5,17.660420517600013,0,20.42430077087853,43,41.86046511627907,11766.042051760001
60,2.0,20,1.5,17.487821510800003,0,20.540984451016865,43,41.86046511627907,11748.78215108
60,1.5,7,1.0,17.41365775920016,0,28.373773894202518,71,28.169014084507044,11741.365775920016
60,2.0,10,2.0,17.10912014919997,0,20.41399526578395,41,43.90243902439025,11710.912014919997
60,2.0,14,2.0,17.10912014919997,0,20.41399526578395,41,43.90243902439025,11710.912014919997
60,2.0,20,2.0,17.10912014919997,0,20.41399526578395,41,43.90243902439025,11710.912014919997
60,2.0,7,1.5,17.0615692160001,0,19.92359958513119,42,42.857142857142854,11706.15692160001
30,1.5,10,1.5,16.79211192960007,0,24.74651586489917,99,36.36363636363637,11679.211192960007
80,2.0,14,3.0,16.448605623200002,0,22.50917737727834,31,48.38709677419355,11644.86056232
80,2.0,20,3.0,16.448605623200002,0,22.50917737727834,31,48.38709677419355,11644.86056232
30,1.5,7,1.5,16.381085937999888,0,25.010825893505267,99,36.36363636363637,11638.108593799989
60,2.0,10,1.5,16.327427819600036,0,20.425230104981267,43,41.86046511627907,11632.742781960003
60,2.0,7,2.0,16.294622563199972,0,20.413996714462808,41,43.90243902439025,11629.462256319997
40,1.5,7,2.5,16.170642453599886,0,23.94987779987423,76,32.89473684210527,11617.064245359988
40,1.5,7,3.0,16.170642453599886,0,23.94987779987423,76,32.89473684210527,11617.064245359988
40,1.5,10,2.5,16.170642453599886,0,23.94987779987423,76,32.89473684210527,11617.064245359988
